Ticker,Buy Date,Quantity,Buy Price,Buy Cost,Strategy,Hold Days
BMNR,2026-01-06,2.448,32.3500,79.19,Excluded,177
BMNR,2026-01-06,3,33.2200,99.65,Excluded,177
TSLA,2026-01-07,3.473,435.2500,1511.62,Excluded,176
TSLA,2026-01-07,1,437.8600,437.86,Excluded,176
LMND,2026-01-07,2,80.4500,160.90,Excluded,176
LMND,2026-01-12,1,86.1400,86.14,Excluded,171
SSYS,2026-01-12,20,10.3900,207.70,Excluded,171
SSYS,2026-01-15,30,10.6800,320.40,Excluded,168
TSLA,2026-01-20,3,427.2100,1281.63,Excluded,163
LMND,2026-01-20,5,76.0500,380.25,Excluded,163
SSYS,2026-01-20,50,11.4100,570.50,Excluded,163
TSLA,2026-01-29,1,418.4500,418.45,Excluded,154
TSLA,2026-02-03,2,416.6600,833.32,Excluded,149
HOOD,2026-02-03,0.846,87.4600,73.99,Excluded,149
TSLA,2026-02-04,1,408.9400,408.94,Excluded,148
LMND,2026-02-04,8,72.7300,581.84,Excluded,148
LMND,2026-02-04,8,77.0000,616.00,Excluded,148
NVDA,2026-02-11,4,191.2100,764.84,Excluded,141
NVDA,2026-02-11,0.9,191.2300,172.11,Excluded,141
NVDA,2026-02-11,0.178,191.3600,34.06,Excluded,141
LMND,2026-02-19,8,60.8600,486.89,Excluded,133
SSYS,2026-03-04,100,9.7800,977.99,Excluded,120
TSLA,2026-03-05,0.723,400.6700,289.68,Excluded,119
TSLA,2026-03-16,5,396.8800,1984.38,Excluded,108
BMNR,2026-03-30,0.552,18.0900,9.98,Excluded,94
HOOD,2026-03-30,0.154,64.7400,9.97,Excluded,94
SOFI,2026-03-30,0.66,15.1400,9.99,Excluded,94
TSLA,2026-04-06,0.287,347.6600,99.78,Excluded,87
TSLA,2026-04-08,0.146,341.8300,49.91,Excluded,85
TSLA,2026-04-17,1,394.6700,394.67,Excluded,76
SOFI,2026-04-29,5,15.6900,78.43,Excluded,64
SSYS,2026-05-05,100,8.9500,894.50,Excluded,58
TSLA,2026-05-19,2,403.6200,807.24,Excluded,44
GOOG,2026-06-01,1,371.1900,371.19,Swing Trader,31
AMZN,2026-06-03,0.401,249.0800,99.88,Swing Trader,29
AVGO,2026-06-05,0.248,403.2000,99.99,Swing Trader,27
ZM,2026-06-09,1,95.2900,95.29,Swing Trader,23
ZM,2026-06-09,0.049,95.3200,4.67,Swing Trader,23
ZM,2026-06-17,2,89.4400,178.88,Swing Trader,15
PFE,2026-06-18,4,25.2300,100.92,Swing Trader,14
GOOG,2026-06-22,0.289,345.8500,99.95,Swing Trader,10
ORCL,2026-06-26,0.961,150.8100,144.93,Swing Trader,6
AA,2026-06-26,1,53.3700,53.37,Swing Trader,6
AA,2026-06-26,0.873,53.3700,46.59,Swing Trader,6
ON,2026-06-26,1,96.1400,96.14,Swing Trader,6
ON,2026-06-26,0.04,96.2000,3.85,Swing Trader,6
VZ,2026-06-29,2,43.6400,87.28,Swing Trader,3
VZ,2026-06-29,0.291,43.6400,12.70,Swing Trader,3
T,2026-06-30,0.772,20.9600,16.18,Swing Trader,2
T,2026-06-30,4,20.9600,83.82,Swing Trader,2
NEM,2026-06-30,0.075,92.9900,6.97,Swing Trader,2
NEM,2026-06-30,1,92.9900,92.99,Swing Trader,2
GM,2026-06-30,0.298,77.0400,22.96,Swing Trader,2
GM,2026-06-30,1,77.0400,77.04,Swing Trader,2
GS,2026-06-30,0.097,1020.7100,99.01,Swing Trader,2
